Gender,Clinical.Y.N,Feedback
M,N,fit note requested last week no updates since need it for work asap no idea what s causing it
F,N,i app logs me out randomly
F,Y,shoulder pain radiating down my arm started last week worse in the morning it s affecting my routine badly
M,Y,my eczema has flared up badly red itchy patches on my arms and neck i ve been using creams but it doesn t seem to help much it s really starting to affect my day to day
F,N,email verification not arriving even though i ve tried resending it twice wondering if this is common
F,Y,i ve been experiencing migraine that is dull but persistent i m finding it hard to manage with work
M,Y,i started having abdominal cramps last week mostly in the evening eating seems to make it worse especially anything fried it s really starting to affect my day to day
F,N,why does the site log me out every few minutes it s incredibly frustrating when i m in the middle of filling in details i ve talked to friends and they ve had similar issues
M,Y,i ve been experiencing chest tightness that feels sharp
F,N,i keep trying to log in but the nhs app crashes every time i open it i ve updated to the latest version and restarted my phone but no luck i ve talked to friends and they ve had similar issues
F,Y,getting numbness in my fingers after using the keyboard for long wondering if it could be carpal tunnel
F,N,changed gp in settings but it still shows the old one when i check my profile hoping to get this sorted soon
M,N,can t update my contact details the button just doesn t respond hoping to get this sorted soon
F,Y,i ve got this strange tingling in my left arm that comes and goes it doesn t hurt exactly but it feels off hard to describe i ve talked to friends and they ve had similar issues
F,Y,i ve been experiencing numbness in fingers that has been worsening never had anything like this before
F,N,i prescription order disappeared even when i use a different device
F,N,can t reset my password the system tells me it s sent a reset link but nothing arrives not even in junk folder
M,N,tried calling support but the line just goes dead after the initial menu there s no clear way to get help i ve talked to friends and they ve had similar issues
M,N,i app logs me out randomly despite updating it multiple times
F,N,i tried to change my gp online but the system gave me an error code with no explanation what should i do i ve talked to friends and they ve had similar issues
F,N,login loop issue app keeps asking me to sign in again right after i do this has never happened to me before
F,Y,i ve been experiencing joint stiffness that feels sharp
F,Y,for the last couple of months i ve had persistent lower back pain that s worsened when sitting for long periods i ve tried using heat packs but no real improvement i ve talked to friends and they ve had similar issues
F,Y,my sleep has been disturbed due to abdominal cramps that come and go
F,Y,i ve been experiencing shoulder discomfort that gets worse at night i m finding it hard to manage with work
M,N,i i keep getting an error message despite updating it multiple times
F,N,support form just reloads the page after i click submit really frustrating it s affecting my routine badly
F,N,i the system won t send a verification email even after resetting my password
M,Y,i ve been experiencing back pain that is dull but persistent i m finding it hard to manage with work
M,Y,for the last couple of months i ve had persistent lower back pain that s worsened when sitting for long periods i ve tried using heat packs but no real improvement might be worth checking if others are experiencing the same
M,N,i app logs me out randomly no matter how many times i try
F,Y,i ve developed chest discomfort on exertion not sharp but a pressure like feeling wondering if this is common
F,Y,i ve been experiencing back pain that is affecting my daily life
M,N,i i keep getting an error message and it s becoming really frustrating
F,N,changed my phone number at the gp surgery two weeks ago but it s still showing the old one in my account i ve talked to friends and they ve had similar issues
F,Y,i ve got this strange tingling in my left arm that comes and goes it doesn t hurt exactly but it feels off hard to describe i m hoping this can be resolved soon
F,N,the prescription list is missing one of my regular meds it was there before but now it s gone and i can t reorder it might be worth checking if others are experiencing the same
M,N,i the system won t send a verification email even when i use a different device
M,Y,chronic fatigue setting in i feel wiped out even after minor tasks this has never happened to me before
F,N,the app doesn t seem to support landscape mode which is a problem when i m using my tablet with a keyboard attached i ve talked to friends and they ve had similar issues
F,Y,pain in my chest after walking up stairs not severe but uncomfortable it goes away with rest i don t have a history of heart issues but it s new not sure what to do next
F,Y,there s a tingling sensation in my fingers that lasts for hours at a time this has never happened to me before
M,Y,i ve developed chest discomfort on exertion not sharp but a pressure like feeling it s affecting my routine badly
F,N,every time i try to order a repeat prescription i get a message saying service unavailable it s been like this for days might be worth checking if others are experiencing the same
M,N,i ve moved house and updated my address online but it still shows my old one when i try to book an appointment not sure what to do next
M,N,tried calling support but the line just goes dead after the initial menu there s no clear way to get help it s really starting to affect my day to day
F,Y,i ve been experiencing abdominal cramps that has been worsening not sure what s causing it
F,N,i fit note request has no response no matter how many times i try
M,Y,i ve been experiencing leg weakness that feels sharp i m finding it hard to manage with work
F,Y,knees clicking and feel unstable sometimes painful when bending hoping to get this sorted soon
M,Y,i ve been experiencing numbness in fingers that has been constant never had anything like this before
M,Y,i ve been experiencing back pain that has been worsening it s been going on for a few weeks
M,N,changed my phone number at the gp surgery two weeks ago but it s still showing the old one in my account
F,Y,pain in my chest after walking up stairs not severe but uncomfortable it goes away with rest i don t have a history of heart issues but it s new might be worth checking if others are experiencing the same
F,N,every time i update my details they revert back after logging out it s like changes aren t being saved i m hoping this can be resolved soon
F,N,i app logs me out randomly even after resetting my password
F,Y,i ve developed chest discomfort on exertion not sharp but a pressure like feeling this has never happened to me before
M,N,i profile won t save changes
F,Y,i ve been experiencing shoulder discomfort that feels sharp it s been going on for a few weeks
F,N,tried calling support but the line just goes dead after the initial menu there s no clear way to get help not sure what to do next
F,Y,stomach issues after every meal feels bloated and gassy especially in the afternoon hoping to get this sorted soon
F,Y,shoulder pain radiating down my arm started last week worse in the morning this has never happened to me before
F,Y,i ve been experiencing leg weakness that has been constant not sure what s causing it
M,N,email verification not arriving even though i ve tried resending it twice hoping to get this sorted soon
F,Y,i ve been experiencing abdominal cramps that feels sharp
M,Y,experiencing regular dizziness especially after standing up quickly it started mildly but has become more noticeable could this be related to medication side effects not sure what to do next
F,N,prescription said it was sent but pharmacy hasn t received anything yet wondering if this is common
F,N,i the app keeps crashing and it s becoming really frustrating
F,Y,i ve been experiencing numbness in fingers that has been constant not sure what s causing it
F,N,i app logs me out randomly even when i use a different device
M,N,i can t log in despite updating it multiple times
F,N,every time i try to order a repeat prescription i get a message saying service unavailable it s been like this for days i ve talked to friends and they ve had similar issues
F,Y,i ve been experiencing leg weakness that gets worse at night i m finding it hard to manage with work
F,N,i my address is still wrong and it s becoming really frustrating
F,Y,my knees have become increasingly stiff and painful particularly in the mornings sometimes they make a popping sound when i walk
F,Y,i ve been experiencing joint stiffness that feels sharp i m finding it hard to manage with work
F,N,login loop issue app keeps asking me to sign in again right after i do hoping to get this sorted soon
M,N,every time i try to order a repeat prescription i get a message saying service unavailable it s been like this for days
F,Y,i ve been experiencing leg weakness that is dull but persistent wondering if i should see someone about it
F,Y,i ve been experiencing joint stiffness that started recently i m finding it hard to manage with work
M,Y,shoulder pain radiating down my arm started last week worse in the morning
F,N,i tried to change my gp online but the system gave me an error code with no explanation what should i do
M,Y,i ve got this strange tingling in my left arm that comes and goes it doesn t hurt exactly but it feels off hard to describe not sure what to do next
M,Y,i ve been experiencing insomnia that gets worse at night i m finding it hard to manage with work
F,N,i ve moved house and updated my address online but it still shows my old one when i try to book an appointment
M,Y,there s a tingling sensation in my fingers that lasts for hours at a time it s affecting my routine badly
F,N,it keeps saying session expired even if i ve just logged in happens almost every time i try to book an appointment might be worth checking if others are experiencing the same
F,Y,chronic fatigue setting in i feel wiped out even after minor tasks
F,N,can t update my contact details the button just doesn t respond it s affecting my routine badly
F,Y,i ve been experiencing numbness in fingers that gets worse at night never had anything like this before
M,N,prescription said it was sent but pharmacy hasn t received anything yet no idea what s causing it
M,Y,i ve been experiencing chest tightness that feels sharp never had anything like this before
M,N,support form just reloads the page after i click submit really frustrating no idea what s causing it
M,Y,i ve been experiencing dizziness that started recently it s been going on for a few weeks
F,N,email verification not arriving even though i ve tried resending it twice this has never happened to me before
F,N,fit note requested last week no updates since need it for work asap hoping to get this sorted soon
M,Y,experiencing regular dizziness especially after standing up quickly it started mildly but has become more noticeable could this be related to medication side effects
M,N,prescriptions tab not showing up anymore used to work fine before wondering if this is common
M,N,i submitted a request for a fit note but haven t received any confirmation or follow up i need it urgently for work i ve talked to friends and they ve had similar issues
F,N,tried calling support but the line just goes dead after the initial menu there s no clear way to get help
F,Y,i ve been experiencing joint stiffness that has been worsening never had anything like this before
M,Y,there s a tingling sensation in my fingers that lasts for hours at a time wondering if this is common
M,N,i the app keeps crashing no matter how many times i try
F,Y,i ve been experiencing abdominal cramps that feels sharp wondering if i should see someone about it
M,N,i keep trying to log in but the nhs app crashes every time i open it i ve updated to the latest version and restarted my phone but no luck it s really starting to affect my day to day
M,Y,dizziness has started affecting my ability to concentrate at work it s affecting my routine badly
M,Y,i ve developed chest discomfort on exertion not sharp but a pressure like feeling hoping to get this sorted soon
F,Y,i ve been experiencing dizziness that has been worsening i m finding it hard to manage with work
M,N,i profile won t save changes no matter how many times i try
F,Y,i ve been experiencing shoulder discomfort that comes and goes not sure what s causing it
F,N,can t update my contact details the button just doesn t respond this has never happened to me before
F,N,i the app keeps crashing even after resetting my password
F,Y,pain in my chest after walking up stairs not severe but uncomfortable it goes away with rest i don t have a history of heart issues but it s new
F,Y,dizziness has started affecting my ability to concentrate at work
F,N,i can t update my contact details even when i use a different device
M,N,i the app keeps crashing
F,N,i my address is still wrong no matter how many times i try
F,Y,i ve been experiencing back pain that gets worse at night it s been going on for a few weeks
F,Y,i ve been experiencing abdominal cramps that started recently
F,Y,for the last couple of months i ve had persistent lower back pain that s worsened when sitting for long periods i ve tried using heat packs but no real improvement
M,Y,i ve been experiencing chest tightness that is dull but persistent
F,N,app keeps asking for a verification code but never sends one i ve tried multiple times with different devices not sure what to do next
M,N,i tried to change my gp online but the system gave me an error code with no explanation what should i do might be worth checking if others are experiencing the same
M,Y,i ve been experiencing insomnia that gets worse at night never had anything like this before
M,Y,i ve been experiencing back pain that has been constant wondering if i should see someone about it
F,Y,headaches becoming more frequent lasting hours mostly around my temples this has never happened to me before
F,Y,knees clicking and feel unstable sometimes painful when bending this has never happened to me before
M,Y,i feel exhausted all the time even after a full night s sleep i ve also had some unexplained weight loss and headaches might be worth checking if others are experiencing the same
F,N,every time i update my details they revert back after logging out it s like changes aren t being saved not sure what to do next
F,N,can t reset my password the system tells me it s sent a reset link but nothing arrives not even in junk folder might be worth checking if others are experiencing the same
F,Y,i ve been experiencing joint stiffness that comes and goes
M,N,changed gp in settings but it still shows the old one when i check my profile it s affecting my routine badly
F,N,i tried to change my gp online but the system gave me an error code with no explanation what should i do it s really starting to affect my day to day
F,N,app keeps asking for a verification code but never sends one i ve tried multiple times with different devices
F,N,the prescription list is missing one of my regular meds it was there before but now it s gone and i can t reorder it i ve talked to friends and they ve had similar issues
M,N,it keeps saying session expired even if i ve just logged in happens almost every time i try to book an appointment i m hoping this can be resolved soon
M,N,changed my phone number at the gp surgery two weeks ago but it s still showing the old one in my account might be worth checking if others are experiencing the same
M,N,i can t log in even after resetting my password
M,N,i ve moved house and updated my address online but it still shows my old one when i try to book an appointment it s really starting to affect my day to day
M,Y,i ve been experiencing chest tightness that has been constant
M,N,i submitted a request for a fit note but haven t received any confirmation or follow up i need it urgently for work not sure what to do next
F,Y,my eczema has flared up badly red itchy patches on my arms and neck i ve been using creams but it doesn t seem to help much i ve talked to friends and they ve had similar issues
M,Y,i ve been experiencing back pain that started recently not sure what s causing it
F,Y,chronic migraine attacks are becoming more frequent sometimes i can t even look at light without feeling nauseous
F,Y,chronic fatigue setting in i feel wiped out even after minor tasks wondering if this is common
F,Y,i ve been experiencing leg weakness that is affecting my daily life never had anything like this before
F,Y,i ve been experiencing numbness in fingers that gets worse at night not sure what s causing it
M,Y,i ve been experiencing numbness in fingers that has been constant i m finding it hard to manage with work
F,Y,i ve been experiencing chest tightness that feels sharp i m finding it hard to manage with work
F,Y,my sleep has been disturbed due to abdominal cramps that come and go wondering if this is common
F,Y,there s a tingling sensation in my fingers that lasts for hours at a time
M,N,i fit note request has no response though i contacted support last week
M,N,i keep trying to log in but the nhs app crashes every time i open it i ve updated to the latest version and restarted my phone but no luck i m hoping this can be resolved soon
F,Y,i ve been experiencing insomnia that has been worsening
F,Y,i ve been experiencing chest tightness that started recently
M,N,support form just reloads the page after i click submit really frustrating hoping to get this sorted soon
M,Y,i ve been experiencing shoulder discomfort that is dull but persistent never had anything like this before
F,N,the app doesn t seem to support landscape mode which is a problem when i m using my tablet with a keyboard attached it s really starting to affect my day to day
M,N,i the system won t send a verification email no matter how many times i try
M,Y,i ve been experiencing dizziness that has been constant wondering if i should see someone about it
M,N,i profile won t save changes and it s becoming really frustrating
M,N,i prescription order disappeared no matter how many times i try
M,N,every time i try to order a repeat prescription i get a message saying service unavailable it s been like this for days i m hoping this can be resolved soon
F,Y,i ve been experiencing chest tightness that started recently it s been going on for a few weeks
M,Y,i feel exhausted all the time even after a full night s sleep i ve also had some unexplained weight loss and headaches not sure what to do next
F,Y,back pain worsens in the evenings especially after walking or standing all day wondering if this is common
F,N,i entered the wrong email when registering and now i can t verify my account or change it without logging in i m hoping this can be resolved soon
M,Y,i ve been experiencing chest tightness that has been worsening wondering if i should see someone about it
F,Y,back pain worsens in the evenings especially after walking or standing all day it s affecting my routine badly
F,Y,chronic migraine attacks are becoming more frequent sometimes i can t even look at light without feeling nauseous not sure what to do next
M,Y,my sleep has been disturbed due to abdominal cramps that come and go it s affecting my routine badly
M,N,i i keep getting an error message no matter how many times i try
