id,score,lexicon
1,1,AFINN
3,-8,AFINN
4,-3,AFINN
6,-3,AFINN
7,-3,AFINN
8,-2,AFINN
10,3,AFINN
12,2,AFINN
13,2,AFINN
14,-4,AFINN
15,-1,AFINN
16,-1,AFINN
18,2,AFINN
20,-2,AFINN
23,-3,AFINN
24,-2,AFINN
25,-4,AFINN
26,-2,AFINN
27,-3,AFINN
28,3,AFINN
29,-5,AFINN
30,-1,AFINN
31,1,AFINN
32,2,AFINN
33,-2,AFINN
34,-4,AFINN
36,0,AFINN
37,0,AFINN
38,3,AFINN
39,-2,AFINN
40,0,AFINN
41,-6,AFINN
43,-1,AFINN
44,4,AFINN
46,2,AFINN
47,-3,AFINN
48,2,AFINN
49,-3,AFINN
50,0,AFINN
51,2,AFINN
52,-5,AFINN
54,-4,AFINN
55,8,AFINN
57,2,AFINN
58,5,AFINN
60,2,AFINN
61,2,AFINN
62,-5,AFINN
63,-2,AFINN
64,2,AFINN
68,-2,AFINN
72,2,AFINN
73,-6,AFINN
74,-4,AFINN
76,-1,AFINN
77,2,AFINN
78,2,AFINN
79,-4,AFINN
80,-1,AFINN
81,-5,AFINN
82,-2,AFINN
83,-4,AFINN
84,-4,AFINN
86,-3,AFINN
87,2,AFINN
88,-2,AFINN
89,-3,AFINN
90,-1,AFINN
92,2,AFINN
93,0,AFINN
96,3,AFINN
98,2,AFINN
99,1,AFINN
100,2,AFINN
101,-1,AFINN
103,1,AFINN
105,3,AFINN
106,-1,AFINN
107,4,AFINN
108,-4,AFINN
109,6,AFINN
113,-6,AFINN
114,2,AFINN
117,-1,AFINN
118,-5,AFINN
120,-3,AFINN
121,-2,AFINN
123,0,AFINN
124,-1,AFINN
125,-2,AFINN
127,-2,AFINN
128,-3,AFINN
129,4,AFINN
130,2,AFINN
132,-3,AFINN
133,-2,AFINN
135,-2,AFINN
136,4,AFINN
137,2,AFINN
141,1,AFINN
142,-3,AFINN
143,-2,AFINN
144,0,AFINN
145,-2,AFINN
146,0,AFINN
147,-3,AFINN
148,-1,AFINN
149,-1,AFINN
150,-2,AFINN
152,3,AFINN
153,7,AFINN
154,-3,AFINN
156,2,AFINN
157,0,AFINN
158,0,AFINN
159,4,AFINN
161,3,AFINN
162,0,AFINN
163,6,AFINN
165,-5,AFINN
166,-5,AFINN
167,2,AFINN
168,-3,AFINN
169,-8,AFINN
170,0,AFINN
171,-5,AFINN
172,-1,AFINN
174,-2,AFINN
176,-1,AFINN
177,-2,AFINN
179,2,AFINN
181,2,AFINN
183,-1,AFINN
184,2,AFINN
185,-2,AFINN
186,2,AFINN
187,0,AFINN
188,-3,AFINN
191,4,AFINN
192,-3,AFINN
193,-5,AFINN
195,2,AFINN
196,3,AFINN
197,-5,AFINN
198,2,AFINN
199,1,AFINN
200,-2,AFINN
201,1,AFINN
202,1,AFINN
203,3,AFINN
204,-3,AFINN
205,-2,AFINN
207,-3,AFINN
208,-2,AFINN
210,2,AFINN
211,0,AFINN
212,-1,AFINN
214,0,AFINN
215,2,AFINN
216,5,AFINN
217,-3,AFINN
218,-3,AFINN
219,5,AFINN
220,-3,AFINN
222,2,AFINN
223,0,AFINN
224,-4,AFINN
225,2,AFINN
226,-2,AFINN
227,-2,AFINN
228,-2,AFINN
230,2,AFINN
233,1,AFINN
234,2,AFINN
235,-3,AFINN
237,-6,AFINN
238,-2,AFINN
239,-3,AFINN
240,-3,AFINN
241,0,AFINN
243,-1,AFINN
244,1,AFINN
246,4,AFINN
247,2,AFINN
249,-5,AFINN
252,-2,AFINN
254,2,AFINN
256,-6,AFINN
257,-2,AFINN
258,-2,AFINN
260,4,AFINN
261,4,AFINN
262,2,AFINN
264,2,AFINN
265,1,AFINN
266,-2,AFINN
267,-5,AFINN
268,-2,AFINN
270,-3,AFINN
271,-1,AFINN
273,-1,AFINN
275,4,AFINN
276,6,AFINN
277,-5,AFINN
278,-3,AFINN
279,-5,AFINN
280,-2,AFINN
282,-5,AFINN
283,1,AFINN
284,-2,AFINN
285,0,AFINN
286,2,AFINN
287,-5,AFINN
288,2,AFINN
289,2,AFINN
290,-3,AFINN
291,1,AFINN
292,2,AFINN
293,1,AFINN
296,-3,AFINN
297,-2,AFINN
300,-2,AFINN
301,-3,AFINN
302,-4,AFINN
303,0,AFINN
305,2,AFINN
309,4,AFINN
312,2,AFINN
314,-2,AFINN
316,-1,AFINN
319,2,AFINN
320,-2,AFINN
321,-1,AFINN
324,3,AFINN
325,1,AFINN
327,0,AFINN
331,3,AFINN
332,0,AFINN
333,-1,AFINN
335,-5,AFINN
336,2,AFINN
337,0,AFINN
338,-2,AFINN
339,-2,AFINN
340,5,AFINN
341,2,AFINN
343,-5,AFINN
344,0,AFINN
345,-2,AFINN
346,-3,AFINN
347,-5,AFINN
1,1,Bing
2,-1,Bing
3,-3,Bing
4,-2,Bing
6,-1,Bing
7,-2,Bing
8,-1,Bing
9,1,Bing
10,-1,Bing
14,-5,Bing
15,0,Bing
17,-1,Bing
18,0,Bing
19,-1,Bing
20,-2,Bing
21,0,Bing
22,0,Bing
23,-1,Bing
24,-1,Bing
25,-2,Bing
26,-1,Bing
27,-1,Bing
28,1,Bing
29,-2,Bing
30,1,Bing
31,-1,Bing
32,1,Bing
33,-1,Bing
34,-2,Bing
35,-1,Bing
36,-4,Bing
37,1,Bing
38,1,Bing
39,-2,Bing
40,-1,Bing
41,-4,Bing
42,0,Bing
43,0,Bing
44,1,Bing
46,1,Bing
47,-1,Bing
49,0,Bing
50,-2,Bing
51,1,Bing
52,-2,Bing
54,-3,Bing
55,0,Bing
56,-1,Bing
57,1,Bing
58,1,Bing
59,0,Bing
60,1,Bing
61,-2,Bing
62,-2,Bing
63,-1,Bing
65,1,Bing
68,-2,Bing
70,-1,Bing
72,-1,Bing
73,-2,Bing
74,-2,Bing
75,-2,Bing
76,0,Bing
77,0,Bing
78,0,Bing
79,-2,Bing
80,-1,Bing
81,-2,Bing
82,-1,Bing
83,-4,Bing
84,-1,Bing
86,-1,Bing
87,0,Bing
88,-2,Bing
89,-1,Bing
90,0,Bing
92,2,Bing
93,0,Bing
96,1,Bing
98,2,Bing
99,0,Bing
100,1,Bing
101,-1,Bing
102,0,Bing
103,-1,Bing
104,1,Bing
105,0,Bing
106,0,Bing
107,1,Bing
108,-1,Bing
109,1,Bing
110,-1,Bing
112,-1,Bing
113,-4,Bing
114,1,Bing
116,-1,Bing
117,-1,Bing
118,-2,Bing
120,0,Bing
121,-1,Bing
123,0,Bing
124,0,Bing
125,-1,Bing
126,-1,Bing
127,-2,Bing
128,-3,Bing
129,0,Bing
130,0,Bing
131,-1,Bing
132,-1,Bing
133,-1,Bing
135,-1,Bing
136,-1,Bing
137,1,Bing
141,1,Bing
142,-3,Bing
143,-1,Bing
144,-2,Bing
145,-2,Bing
146,0,Bing
147,-1,Bing
148,0,Bing
149,1,Bing
150,-1,Bing
151,0,Bing
152,1,Bing
153,0,Bing
154,-1,Bing
156,0,Bing
157,-1,Bing
158,0,Bing
159,1,Bing
